Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2021,"Justin Upton","LAA",107,0.1588785,0.28971963,0.5483871,0.2247191,0.35514019,0.48314607,0.83828626,0.25842697,0.25490196,17.124004705186028,4.166688850457804,0.3614920154910221,130.002415505438,5222
2021,"Justin Turner","LAD",177,0.08474576,0.15254237,0.55555556,0.25786164,0.32768362,0.49056604,0.81824966,0.2327044,0.25203252,26.415021999793094,4.980957455055756,0.34843871553065414,120.20771238140435,5235
2021,"Robbie Grossman","DET",206,0.13106796,0.2038835,0.64285714,0.27906977,0.3804878,0.47674419,0.85723199,0.19767442,0.32,34.218187076620445,9.272326646022188,0.36882877844135936,135.20324873962352,5254
2021,"Sandy Leon","MIA",65,0.09230769,0.18461538,0.5,0.22807018,0.3125,0.26315789,0.57565789,0.03508771,0.28888889,5.267864894640579,-2.6034017460821732,0.26601770892739296,68.06114432283198,5273
2021,"Brandon Crawford","SFG",150,0.08,0.25333333,0.31578947,0.24444444,0.3,0.42222222,0.72222222,0.17777778,0.28723404,17.408058639749537,-0.756402838841426,0.30833167433738706,94.55254615601207,5343
2021,"Freddie Freeman","ATL",192,0.08333333,0.16145833,0.51612903,0.25730994,0.33333333,0.42690058,0.76023391,0.16959064,0.2761194,25.74957606374943,2.4990653711529904,0.330158032476902,103.34515933812783,5361
2021,"Juan Lagares","LAA",119,0.04201681,0.20168067,0.20833333,0.25225225,0.28813559,0.45045045,0.73858604,0.1981982,0.29411765,14.203176303206504,-0.20729646980899347,0.31232102139521456,96.78491906443134,5384
2021,"Jose Altuve","HOU",207,0.07729469,0.13043478,0.59259259,0.27807487,0.33495146,0.45454545,0.78949691,0.17647058,0.29032258,28.905409135947057,3.8384522954915234,0.33683851172284385,116.26466313439056,5417
2021,"Ji-Man Choi","TBR",78,0.08974359,0.38461538,0.23333333,0.18571429,0.26923077,0.25714286,0.52637363,0.07142857,0.325,4.712387869396597,-4.733132099470705,0.24108491723354047,54.430861416327794,5452
2021,"Marwin Gonzalez","2 Tms",88,0.04545455,0.15909091,0.28571429,0.25,0.28409091,0.42857143,0.71266234,0.17857143,0.27941176,9.891777865986286,-0.7647062014537449,0.3039235838434913,88.2029759551563,5497
2021,"Kyle Higashioka","NYY",69,0.05797101,0.23188406,0.25,0.234375,0.27536232,0.515625,0.79098732,0.28125,0.22727273,9.168436165280474,0.8127838851286301,0.32866356597430463,108.99927392435005,5517
2021,"Avisail Garcia","MIL",128,0.15625,0.1875,0.83333333,0.27884615,0.40625,0.52884615,0.93509615,0.25,0.30666667,23.53070877872554,8.030368316994585,0.39025303144608775,143.4041934457531,5760
2021,"Wilmer Flores","SFG",149,0.06711409,0.16107383,0.41666667,0.28776978,0.33557047,0.4676259,0.80319637,0.17985612,0.31192661,21.7936674965199,3.7503024277862096,0.34484762753416226,118.27725410720038,5827
2021,"Leury Garcia","CHW",139,0.05035971,0.23741007,0.21212121,0.28225806,0.31851852,0.37903226,0.69755078,0.0967742,0.3655914,15.33122786377836,-1.5011731063826026,0.30137340360217624,90.6452451003466,5913
